code,medal,rank
USA,4243,1
RUS,3303,2
GER,3248,3
CAN,2786,4
CHN,2716,5
ITA,2637,6
FRA,2579,7
JPN,2423,8
AUS,2422,9
GBR,2222,10
UKR,1676,11
KOR,1634,12
ESP,1598,13
BRA,1591,14
POL,1485,15
NED,1357,16
SWE,1327,17
CZE,1307,18
SUI,1289,19
BLR,1116,20
NOR,1044,21
HUN,1026,22
AUT,985,23
GRE,944,24
KAZ,944,25
NZL,895,26
FIN,871,27
ROU,824,28
ARG,787,29
SLO,738,30
SVK,694,31
RSA,622,32
CUB,609,33
CRO,573,34
DEN,568,35
BUL,525,36
BEL,504,37
LAT,504,38
MEX,504,39
EGY,489,40
COL,440,41
EST,427,42
TUR,425,43
POR,390,44
SRB,390,45
IND,384,46
VEN,375,47
LTU,368,48
TPE,331,49
IRL,316,50
UZB,304,51
NGR,303,52
JAM,272,53
ALG,245,54
TUN,245,55
ISR,244,56
PRK,242,57
IRI,235,58
MAR,231,59
KEN,227,60
AZE,223,61
THA,211,62
HKG,203,63
CHI,199,64
GEO,184,65
MAS,160,66
ISL,157,67
PUR,152,68
ARM,148,69
TTO,145,70
MDA,141,71
MGL,140,72
ETH,130,73
BAH,128,74
DOM,126,75
SGP,126,76
ANG,124,77
ECU,120,78
INA,118,79
SCG,115,80
CMR,107,81
KGZ,99,82
SEN,97,83
MNE,94,84
QAT,91,85
PER,87,86
CYP,83,87
GUA,81,88
VIE,81,89
FIJ,79,90
HON,79,91
PAK,78,92
URU,75,93
BIH,74,94
BRN,72,95
ZIM,72,96
AND,68,97
KSA,68,98
PHI,63,99
GHA,61,100
LUX,61,101
UGA,61,102
TJK,58,103
MON,56,104
IRQ,56,105
CRC,55,106
CIV,52,107
UAE,52,108
PAR,51,109
LIE,50,110
MKD,50,111
MLI,50,112
LIB,49,113
BAR,46,114
ESA,44,115
ISV,43,116
ALB,42,117
MRI,42,118
BOT,41,119
NAM,41,120
ERI,40,121
TKM,39,122
BER,36,123
GAB,36,124
SEY,36,125
BOL,35,126
SRI,35,127
JOR,32,128
PAN,32,129
KUW,31,130
NEP,31,131
PNG,31,132
TAN,31,133
HAI,30,134
SYR,30,135
CAY,29,136
MAD,29,137
GRN,28,138
MLT,28,139
SAM,28,140
ZAM,28,141
CGO,27,142
BDI,26,143
COK,25,144
LBA,25,145
SUD,25,146
GUM,24,147
NCA,24,148
SKN,24,149
ANT,23,150
BAN,23,151
MYA,23,152
RWA,23,153
MOZ,22,154
SMR,22,155
BUR,21,156
FSM,21,157
GUY,21,158
LES,21,159
TOG,21,160
BEN,20,161
CAM,20,162
NIG,20,163
PLW,20,164
CAF,19,165
COD,19,166
SUR,19,167
TGA,19,168
AFG,18,169
GUI,18,170
PLE,18,171
YEM,18,172
ARU,17,173
LAO,17,174
MDV,17,175
MAW,16,176
ASA,15,177
GBS,15,178
LCA,15,179
DJI,14,180
IOA,14,181
MHL,14,182
VAN,14,183
COM,13,184
CPV,13,185
OMA,13,186
BIZ,12,187
GAM,12,188
LBR,12,189
ROT,12,190
SOL,12,191
SWZ,12,192
VIN,12,193
KIR,11,194
SLE,11,195
STP,11,196
IVB,10,197
DMA,9,198
TLS,9,199
BHU,8,200
GEQ,8,201
KOS,8,202
MTN,8,203
NRU,8,204
SOM,8,205
AHO,7,206
BRU,7,207
CHA,7,208
TUV,7,209
SSD,3,210
