code,medal
MAR,682
MON,197
AFG,126
AHO,79
ALB,70
ALG,551
AND,169
ANG,267
ANT,133
ANZ,86
ARG,3295
ARM,221
ARU,42
ASA,37
AUS,7638
AUT,5141
AZE,283
BAH,374
BAN,55
BAR,219
BDI,39
BEL,3857
BEN,71
BER,212
BHU,36
BIH,134
BIZ,76
BLR,1786
BOH,153
BOL,152
BOT,90
BRA,3848
BRN,126
BRU,10
BUL,3530
BUR,44
CAF,67
CAM,63
CAN,9733
CAY,83
CGO,105
CHA,41
CHI,925
CHN,5141
CIV,193
CMR,312
COD,93
COK,40
COL,1069
COM,19
CPV,18
CRC,264
CRO,876
CRT,11
CUB,2479
CYP,225
CZE,1874
DEN,3570
DJI,38
DMA,19
DOM,277
ECU,277
EGY,1622
ERI,43
ESA,218
ESP,5313
EST,876
ETH,378
EUN,864
FIJ,232
FIN,5467
FRA,12758
FRG,3315
FSM,26
GAB,63
GAM,56
GBR,12256
GBS,21
GDR,2645
GEO,286
GEQ,40
GER,9830
GHA,359
GRE,3181
GRN,54
GUA,425
GUI,73
GUM,112
GUY,102
HAI,106
HKG,685
HON,189
HUN,6607
INA,412
IND,1408
IOA,94
IRI,789
IRL,1325
IRQ,232
ISL,627
ISR,665
ISV,294
ITA,10715
IVB,45
JAM,848
JOR,80
JPN,8444
KAZ,1429
KEN,772
KGZ,227
KIR,11
KOR,4464
KOS,8
KSA,230
KUW,284
LAO,54
LAT,951
LBA,84
LBR,74
LCA,28
LES,66
LIB,329
LIE,369
LTU,654
LUX,996
MAD,119
MAL,45
MAS,530
MAW,87
MDA,234
MDV,49
MEX,2880
MGL,550
MHL,14
MKD,84
MLI,92
MLT,118
MNE,94
MOZ,78
MRI,144
MTN,29
MYA,111
NAM,77
NBO,2
NCA,129
NED,5839
NEP,94
NFL,1
NGR,882
NIG,47
NOR,4960
NRU,13
NZL,2342
OMA,66
PAK,562
PAN,139
PAR,135
PER,532
PHI,694
PLE,21
PLW,25
PNG,108
POL,6202
POR,1522
PRK,807
PUR,927
QAT,192
RHO,12
ROT,12
ROU,4405
RSA,1711
RUS,5140
RWA,56
SAA,93
SAM,63
SCG,321
SEN,393
SEY,111
SGP,349
SKN,42
SLE,114
SLO,1111
SMR,181
SOL,27
SOM,32
SRB,392
SRI,146
SSD,3
STP,15
SUD,107
SUI,6150
SUR,69
SVK,1055
SWE,8339
SWZ,67
SYR,156
TAN,161
TCH,4404
TGA,46
THA,747
TJK,70
TKM,54
TLS,9
TOG,59
TPE,1097
TTO,375
TUN,561
TUR,1356
TUV,7
UAE,144
UAR,123
UGA,260
UKR,2559
UNK,2
URS,5685
URU,576
USA,18852
UZB,495
VAN,35
VEN,925
VIE,154
VIN,42
VNM,62
WIF,20
YAR,11
YEM,32
YMD,5
YUG,2583
ZAM,183
ZIM,311
Grand Total,271104
